,State,County,Date,PM2.5,CO,NO2,Ozone,SO2,total_confirmed_cases,Deaths,Recovered,Active
57,Connecticut,Hartford,Apr 14,4.150000095367432,,,0.04500000178813934,,2370,153,0,2217
58,Connecticut,Hartford,Apr 15,5.75,,,0.0430000014603138,,2570,213,0,2357
59,Connecticut,Hartford,Apr 16,5.050000190734863,,,0.041999999433755875,,2859,243,0,2616
60,Connecticut,Hartford,Apr 17,7.199999809265137,,,0.04699999839067459,,3015,266,0,2749
61,Connecticut,Hartford,Apr 18,6.599999904632568,,,0.039000000804662704,,3196,289,0,2907
62,Connecticut,Hartford,Apr 19,10.0,,,0.05299999937415123,,3351,295,0,3056
63,Connecticut,Hartford,Apr 20,5.599999904632568,,,0.041999999433755875,,3823,369,0,3454
64,Connecticut,Hartford,Apr 21,6.449999809265137,,,0.041999999433755875,,3951,402,0,3549
65,Connecticut,Hartford,Apr 22,4.25,,,0.041999999433755875,,4128,442,0,3686
66,Connecticut,Hartford,Apr 23,7.949999809265137,,,0.04399999976158142,,4303,469,0,3834
67,Connecticut,Hartford,Apr 24,9.350000381469727,,,0.03999999910593033,,4570,511,0,4059
68,Connecticut,Hartford,Apr 25,9.75,,,0.052000001072883606,,4761,553,0,4208
69,Connecticut,Hartford,Apr 26,5.699999809265137,,,0.04399999976158142,,4989,579,0,4410
70,Connecticut,Litchfield,Mar 23,3.0,,,0.03999999910593033,,13,0,0,0
71,Connecticut,Litchfield,Mar 24,2.9000000953674316,,,0.04100000113248825,,22,0,0,0
72,Connecticut,Litchfield,Mar 25,6.0,,,0.03999999910593033,,33,0,0,0
73,Connecticut,Litchfield,Mar 26,5.699999809265137,,,0.04800000041723251,,44,0,0,0
74,Connecticut,Litchfield,Mar 27,6.199999809265137,,,0.04500000178813934,,52,0,0,0
75,Connecticut,Litchfield,Mar 28,4.099999904632568,,,0.03999999910593033,,65,0,0,0
76,Connecticut,Litchfield,Mar 29,0.30000001192092896,,,0.04500000178813934,,87,0,0,0
77,Connecticut,Litchfield,Mar 30,2.0,,,0.041999999433755875,,113,1,0,0
78,Connecticut,Litchfield,Mar 31,3.0,,,0.041999999433755875,,121,1,0,0
79,Connecticut,Litchfield,Apr 1,4.400000095367432,,,0.04600000008940697,,131,1,0,0
80,Connecticut,Litchfield,Apr 2,2.299999952316284,,,0.04100000113248825,,141,2,0,0
81,Connecticut,Litchfield,Apr 3,0.5,,,0.039000000804662704,,173,4,0,0
