"County","State","Avr_PM2.5","Avr_CO","Avr_NO2","Avr_Ozone","Avr_SO2","Population","Area","Pop_density","Poverty_all","Poverty_child","Large_airport","Medium_airport","Small_airport","Non_Hub_airport","Cases","Deaths","Case_per_thousand","Death_per_M","Mortality","TAVG_avg","TMAX_avg","TMIN_avg","SNO_avg","PRCP_avg","State_Code","fips"
"Fairfield","Connecticut",5.7,NA,NA,0.04501,NA,916829,1621,565.59,10,12.7,0,0,0,0,10529,707,11.48,771.14,6.71,NA,NA,NA,0,4.16857142857143,"CT",9001
"Fayette","Pennsylvania",6.62,NA,NA,0.04027,NA,136606,2067,66.09,14.6,20.3,0,0,0,0,79,4,0.58,29.28,5.06,NA,NA,NA,0,NA,"PA",42051
"Franklin","Massachusetts",6.94,NA,NA,0.04232,NA,71372,1818,39.26,10.6,14.5,0,0,0,0,226,32,3.17,448.36,14.16,NA,NA,NA,0,NA,"MA",25011
"Garrett","Maryland",4.05,0.14,2.32,0.04506,0.24,29854,1699,17.57,12.2,18.4,0,0,0,0,5,0,0.17,0,0,NA,NA,NA,0,NA,"MD",24023
"Grafton","New Hampshire",2.91,NA,NA,0.04157,NA,89320,4439,20.12,9,12.5,0,0,0,1,48,0,0.54,0,0,NA,NA,NA,11.7714285714286,4,"NH",33009
"Greene","Pennsylvania",5.72,NA,NA,0.04323,NA,38686,1497,25.84,15.9,20,0,0,0,0,25,0,0.65,0,0,NA,NA,NA,0,NA,"PA",42059
"Hampden","Massachusetts",6.06,NA,NA,0.04383,NA,463490,1601,289.5,16.7,25.8,0,0,0,0,3295,315,7.11,679.63,9.56,NA,NA,NA,0,NA,"MA",25013
"Hampshire","Massachusetts",7.59,NA,NA,0.04552,NA,158080,1370,115.39,11.1,9.4,0,0,0,0,427,20,2.7,126.52,4.68,NA,NA,NA,3.11428571428571,4.47,"MA",25015
"Hancock","Maine",1.87,0.18,NA,0.0483,0.12,54659,6089,8.98,11.6,15.9,0,0,0,0,9,0,0.16,0,0,NA,NA,NA,0,NA,"ME",23009
"Harford","Maryland",4.17,NA,NA,0.04359,NA,248622,1365,182.14,7,9.7,0,0,0,0,319,11,1.28,44.24,3.45,NA,NA,NA,0,NA,"MD",24025
"Hartford","Connecticut",5.56,NA,NA,0.043,NA,894014,1906,469.05,11.2,15.5,0,1,0,0,4989,579,5.58,647.64,11.61,NA,NA,NA,9.37142857142857,5.21857142857143,"CT",9003
"Hillsborough","New Hampshire",2.57,NA,NA,0.0446,NA,406678,2269,179.23,7.4,10,0,0,1,0,824,2,2.03,4.92,0.24,NA,NA,-1.49090909090909,5.74285714285714,NA,"NH",33011
"Howard","Maryland",5.72,0.34,NA,NA,NA,299430,658,455.06,5.2,6.2,0,0,0,0,707,16,2.36,53.43,2.26,NA,NA,NA,0,NA,"MD",24027
"Hudson","New Jersey",6.16,NA,NA,0.03763,NA,676061,122,5541.48,14.3,22.3,0,0,0,0,13708,706,20.28,1044.28,5.15,NA,NA,NA,0,NA,"NJ",34017
"Hunterdon","New Jersey",5.93,NA,NA,0.04056,NA,124714,1114,111.95,4.4,4,0,0,0,0,536,23,4.3,184.42,4.29,NA,NA,NA,0,NA,"NJ",34019
"Kent","Delaware",7.15,NA,NA,0.04406,NA,162310,2072,78.33,13.8,19.6,0,0,0,0,625,22,3.85,135.54,3.52,NA,NA,NA,0,NA,"DE",10001
"Kent","Maryland",5.14,NA,NA,0.04391,NA,20191,1072,18.83,12.9,19.2,0,0,0,0,68,3,3.37,148.58,4.41,NA,NA,NA,0,NA,"MD",24029
"Kent","Rhode Island",3.8,NA,NA,0.04487,NA,166158,435,381.97,7.8,10.1,0,0,0,0,526,0,3.17,0,0,NA,NA,NA,0,NA,"RI",44003
"Lackawanna","Pennsylvania",5.36,NA,NA,0.03884,NA,214437,1204,178.1,14.2,20.3,0,0,0,0,793,63,3.7,293.79,7.94,NA,NA,NA,0,NA,"PA",42069
"Lancaster","Pennsylvania",8.26,NA,NA,0.0408,NA,519445,2549,203.78,7.9,10.1,0,0,0,0,1577,140,3.04,269.52,8.88,NA,NA,6.14117647058824,0,NA,"PA",42071
"Lehigh","Pennsylvania",6.31,NA,NA,0.03952,NA,349497,904,386.61,12,17.4,0,0,0,1,2601,51,7.44,145.92,1.96,NA,NA,NA,0,NA,"PA",42077
"Litchfield","Connecticut",4.13,NA,NA,0.04451,NA,189927,2383,79.7,6.9,8.1,0,0,0,0,864,74,4.55,389.62,8.56,NA,8.71176470588235,-0.335294117647059,14.9428571428571,NA,"CT",9005
"Lycoming","Pennsylvania",5.44,NA,NA,0.0388,NA,116111,3222,36.04,13,17.5,0,0,0,1,55,2,0.47,17.22,3.64,NA,NA,3.11764705882353,0,4.09714285714286,"PA",42081
"Mercer","New Jersey",6.99,NA,NA,0.0424,NA,369811,585,632.16,10.9,13.7,0,0,0,1,3355,188,9.07,508.37,5.6,NA,NA,NA,0,NA,"NJ",34021
"Mercer","Pennsylvania",6.81,NA,NA,0.04259,NA,116638,1769,65.93,15.3,24.4,0,0,0,0,65,1,0.56,8.57,1.54,NA,NA,NA,0,NA,"PA",42085
"Middlesex","Massachusetts",6.04,NA,NA,0.04227,NA,1503085,2134,704.35,7.3,8,0,0,0,0,12648,670,8.41,445.75,5.3,NA,NA,NA,4,4.97142857142857,"MA",25017
"Middlesex","New Jersey",6.11,NA,NA,0.04077,NA,829685,805,1030.66,8.2,11.2,0,0,0,0,10642,442,12.83,532.73,4.15,NA,NA,NA,0,NA,"NJ",34023
"Monroe","New York",4.9,NA,NA,0.03982,NA,744344,3538,210.39,14.4,18.9,0,0,0,0,1316,106,1.77,142.41,8.05,NA,NA,NA,0,NA,"NY",36055
"Montgomery","Maryland",4.46,NA,NA,0.03968,NA,1004709,1313,765.2,6.9,8.4,0,0,0,0,3645,180,3.63,179.16,4.94,NA,NA,NA,0,NA,"MD",24031
"Montgomery","Pennsylvania",4.89,NA,NA,0.04289,NA,799874,1261,634.32,5.9,6.6,0,0,0,0,3733,230,4.67,287.55,6.16,NA,NA,NA,0,4.05385714285714,"PA",42091
"New Castle","Delaware",6.67,NA,NA,0.04065,NA,538479,1279,421.02,11.6,15.5,0,0,0,1,1599,55,2.97,102.14,3.44,NA,NA,NA,0,NA,"DE",10003
