County,State,Avr_PM2.5,Avr_CO,Avr_NO2,Avr_Ozone,Avr_SO2,Population,Area,Poverty_all,Poverty_child,Large_airport,Medium_airport,Small_airport,Non_Hub_airport
Montgomery,Pennsylvania,4.89,,,0.04289,,799874,1261,5.9,6.6,,,,
Northampton,Pennsylvania,5.63,,,0.04064,,297735,976,10.2,14.4,,,,
Philadelphia,Pennsylvania,5.68,,,0.04115,,1526006,370,24.3,34,1,,,
Susquehanna,Pennsylvania,4.7,,,,,43356,2155,12.8,19.7,,,,
Tioga,Pennsylvania,4.5,,,0.04293,,41981,2945,15,21.4,,,,
Washington,Pennsylvania,6.56,,,0.03954,,207820,2230,9,10.8,,,,
Westmoreland,Pennsylvania,5.39,,,0.0404,,365169,2683,9.2,12.3,,,,1
Wyoming,Pennsylvania,5.36,,,,,28276,1049,11.8,17.1,,,,
York,Pennsylvania,8.33,,,0.03711,,434972,2357,8.8,12.8,,,,
Kent,Rhode Island,3.8,,,0.04487,,166158,435,7.8,10.1,,,,
Providence,Rhode Island,3.76,,,,,626667,1059,16.1,22.7,,,1,
Washington,Rhode Island,2.39,,,0.037,,126979,852,8,9.7,,,,2
Bennington,Vermont,4.19,,,0.04403,,36317,1751,11.4,16.5,,,,
Chittenden,Vermont,4.74,,,0.04545,,161382,1396,10.4,8,,,1,
Rutland,Vermont,5.48,,,0.04276,,59736,2414,10.4,13.5,,,,
