"","County","State","Date","City","State_Code","Station","Day","month","day","TAVG","TMAX","TMIN","TOBS","SNOW","PRCP","PM2.5","CO","NO2","Ozone","SO2","total_confirmed_cases","Deaths","Recovered","Active"
"32","Adams","Pennsylvania","Mar 28","Fairfield","PA","US1PAAD0008",20200328,"Mar",28,0,0,0,0,0,105.666666666667,10.8999996185303,NA,NA,0.0370000004768372,NA,8,0,0,0
"33","Adams","Pennsylvania","Mar 29","Fairfield","PA","US1PAAD0008",20200329,"Mar",29,0,0,0,0,0,77.3333333333333,9.80000019073486,NA,NA,0.028999999165535,NA,8,0,0,0
"34","Adams","Pennsylvania","Mar 30","Fairfield","PA","US1PAAD0008",20200330,"Mar",30,0,0,0,0,0,2.66666666666667,6.90000009536743,NA,NA,0.045499999076128,NA,8,0,0,0
"35","Adams","Pennsylvania","Mar 31","Fairfield","PA","US1PAAD0008",20200331,"Mar",31,0,0,0,0,0,0,5.69999980926514,NA,NA,0.0324999988079071,NA,9,0,0,0
"36","Addison","Vermont","Apr 1","Hancock","VT","US1VTAD0020",20200401,"Apr",1,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","Addison","Vermont","Apr 10","Hancock","VT","US1VTAD0020",20200410,"Apr",10,0,0,0,0,0,300,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","Addison","Vermont","Apr 11","Hancock","VT","US1VTAD0020",20200411,"Apr",11,0,0,0,0,30,51,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","Addison","Vermont","Apr 12","Hancock","VT","US1VTAD0020",20200412,"Apr",12,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","Addison","Vermont","Apr 13","Hancock","VT","US1VTAD0020",20200413,"Apr",13,0,0,0,0,0,53,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","Addison","Vermont","Apr 14","Hancock","VT","US1VTAD0020",20200414,"Apr",14,0,0,0,0,0,315,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","Addison","Vermont","Apr 15","Hancock","VT","US1VTAD0020",20200415,"Apr",15,0,0,0,0,5,8,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","Addison","Vermont","Apr 16","Hancock","VT","US1VTAD0020",20200416,"Apr",16,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","Addison","Vermont","Apr 17","Hancock","VT","US1VTAD0020",20200417,"Apr",17,0,0,0,0,5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","Addison","Vermont","Apr 18","Hancock","VT","US1VTAD0020",20200418,"Apr",18,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46","Addison","Vermont","Apr 19","Hancock","VT","US1VTAD0020",20200419,"Apr",19,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47","Addison","Vermont","Apr 2","Hancock","VT","US1VTAD0020",20200402,"Apr",2,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48","Addison","Vermont","Apr 20","Hancock","VT","US1VTAD0020",20200420,"Apr",20,0,0,0,0,0,8,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49","Addison","Vermont","Apr 21","Hancock","VT","US1VTAD0020",20200421,"Apr",21,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50","Addison","Vermont","Apr 22","Hancock","VT","US1VTAD0020",20200422,"Apr",22,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
